0,1,Cuentas de vueltas,Muestreo (s),Torque de referencia (N-m),Velocidad medida (m/s),Voltaje PAU (V),Voltaje celda #1 (V),Voltaje celda #2 (V),Voltaje de control difuso (V),Voltaje de excitacion (V)
Fecha,14_07_2022,,,,,,,,,
Hora de inicio,16_49_03,,,,,,,,,
Hora de finalización,16_50_28,,,,,,,,,
Voltage de salida analoga,0.0,,,,,,,,,
Voltaje offset celda 1,-0.01005562513787282,,,,,,,,,
Voltaje offset celda 2,-0.0434787874648382,,,,,,,,,
"ObservacionesEscriba sus observaciones antes de presionar ""Terminar"" o borre este campo si no tiene...",,,,,,,,,,
,,0,13.746318101882935,0.0,0.0,-0.4542741245422072,-2.9072725549941084e-07,6.375489805971607e-07,{'V': 0.005105098039215977},-0.014471203503388166
,,0,13.996342897415161,0.0,0.0,-0.4480552960838765,-5.799984898593492e-07,1.2098029442218772e-06,{'V': 0.00510509803921568},-0.015282420660614825
,,0,14.246275186538696,0.0,0.0,-0.4510130315701552,-7.938076630820134e-07,7.444535672083974e-07,{'V': 0.0},-0.013118546057500829
,,0,14.496461153030396,0.0,0.0,-0.45533587574241047,-1.4033031329359347e-08,9.205317098616439e-07,{'V': 0.005105098039215628},-0.014148603192025856
,,0,14.74643087387085,0.0,0.0,-0.4509371921987124,-4.547555680320045e-08,9.959937709996813e-07,{'V': 0.005105098039215653},-0.012743122303342428
,,0,14.996141195297241,0.0,0.0,-0.44904120791263613,4.885201961860042e-08,1.3104190257379883e-06,{'V': 0.0051050980392157354},-0.014212745943992747
,,0,15.246314525604248,0.0,0.0,-0.45268149774190175,4.7018186096915023e-07,9.331087200512011e-07,{'V': 0.00510509803921563},-0.011354620378414889
,,0,15.496302366256714,0.0,0.0,-0.453288212713446,2.1864165717779688e-07,1.2601109849801756e-06,{'V': 0.00510509803921573},-0.014695703135271833
,,0,15.746251821517944,0.0,0.0,-0.451164710313042,8.029454509261499e-08,9.268202149567695e-07,{'V': 0.005105098039215662},-0.013835435638305825
,,0,15.996161460876465,0.0,0.0,-0.4515059874845347,6.839910341914155e-07,1.6499983008563118e-06,{'V': 0.005105098039215715},-0.014125964573684681
,,0,16.24613094329834,0.0,0.0,-0.456283867885448,1.04243582459378e-06,1.121763872894907e-06,{'V': 0.005105098039215729},-0.012545034392856792
,,0,16.496065855026245,0.0,0.0,-0.45067175439866075,1.934876367986997e-07,1.29155351045393e-06,{'V': 0.00510509803921556},-0.014333485241812344
,,0,16.74604034423828,0.0,0.0,-0.45025463785572395,4.576048507793501e-07,1.624844280477128e-06,{'V': 0.005105098039215694},-0.013614709109479069
,,0,16.996005058288574,0.0,0.0,-0.45146806779881266,6.273944883384598e-07,2.127924688059904e-06,{'V': 0.00510509803921567},-0.012020573067952126
,,0,17.245969772338867,0.0,0.0,-0.44661434802645755,7.720301055181254e-07,1.7694798976571752e-06,{'V': 0.005105098039215647},-0.014280661799016273
,,0,17.49591302871704,0.0,0.0,-0.44612139211207824,1.3317070589540307e-06,1.7128833518045839e-06,{'V': 0.005105098039215673},-0.01183569101816561
,,0,17.745877265930176,0.0,0.0,-0.4491170472840779,8.789346921296397e-07,1.6751523212354957e-06,{'V': 0.0051050980392156895},-0.01425425007761821
,,0,17.995891094207764,0.0,0.0,-0.4518093449703068,2.878152132203271e-07,1.939269535216684e-06,{'V': 0.005105098039215701},-0.013173256051825472
,,0,18.24580979347229,0.0,0.0,-0.4491549669698003,3.507002641683216e-07,1.555670724434771e-06,{'V': 0.005105098039215628},-0.015303172727427608
,,0,18.495779275894165,0.0,0.0,-0.44942040476985085,4.576048507793154e-07,2.278848810334244e-06,{'V': 0.005105098039215641},-0.013937309420841246
,,0,18.74564528465271,0.0,0.0,-0.45268149774190264,9.040887125084246e-07,2.0147315963535416e-06,{'V': 0.0051050980392156635},-0.013512835326943601
,,0,18.995578050613403,0.0,0.0,-0.45302277491339593,9.292427328876605e-07,1.2475339747901326e-06,{'V': 0.005105098039215697},-0.014067481476303215
,,0,19.24569797515869,0.0,0.0,-0.45419828517076416,7.908956208027041e-07,2.259983295049839e-06,{'V': 0.00510509803921572},-0.015084332750129313
,,0,19.495664596557617,0.0,0.0,-0.44820697482676236,6.839910341913287e-07,1.9204040199315153e-06,{'V': 0.0051050980392156895},-0.012375244755297752
,,0,19.745631217956543,0.0,0.0,-0.4497996016270662,9.166657226983114e-07,1.8763844842683426e-06,{'V': 0.005105098039215672},-0.011390464857455094
,,0,19.995521545410156,0.0,0.0,-0.4519231040274731,9.292427328880596e-07,1.8449419587943105e-06,{'V': 0.0051050980392156695},-0.014884358288115261
,,0,20.245497941970825,0.0,0.0,-0.45010295911283943,1.0927438653523038e-06,1.7065948467093889e-06,{'V': 0.005105098039215634},-0.013486423605545481
,,0,20.495464324951172,0.0,0.0,-0.45055799534149793,6.965680443809034e-07,1.9581350505004646e-06,{'V': 0.005105098039215665},-0.011182944189327363
,,0,20.74543833732605,0.0,0.0,-0.45143014811309273,8.412036615606383e-07,1.6185557753824187e-06,{'V': 0.005105098039215714},-0.012082829268390464
,,0,20.995405673980713,0.0,0.0,-0.4485482519982571,5.58220932295947e-07,2.3165798409030546e-06,{'V': 0.005105098039215639},-0.012275257524290786
,,0,21.24560832977295,0.0,0.0,-0.4483207338839269,1.4197461302806019e-06,2.3794648918507024e-06,{'V': 0.005105098039215666},-0.015701235099927283
,,0,21.49535036087036,0.0,0.0,-0.4522264615132459,1.3002645334799986e-06,3.008315401328912e-06,{'V': 0.005105098039215697},-0.01443535902434792
,,0,21.745248794555664,0.0,0.0,-0.45218854182752416,1.822210456346382e-06,2.3354453561873212e-06,{'V': 0.005105098039215643},-0.013682624964502668
,,0,21.995200395584106,0.0,0.0,-0.4495720835127379,1.5455162321763826e-06,2.7001786516847594e-06,{'V': 0.005105098039215679},-0.013327953277157049
,,0,22.2449893951416,0.0,0.0,-0.44828281419820726,2.293848338455282e-06,2.756775197537489e-06,{'V': 0.005105098039215702},-0.012522395774515641
,,0,22.495945692062378,0.0,0.0,-0.45108887094159983,9.166657226985717e-07,2.857391279053809e-06,{'V': 0.005105098039215689},-0.012148858571885673
,,0,22.744953393936157,0.0,0.0,-0.44490796216899003,1.2813990181955587e-06,3.0397579268026664e-06,{'V': 0.00510509803921569},-0.013469444641789622
,,0,22.99489402770996,0.0,0.0,-0.4534778111420558,1.4134576251859966e-06,2.3668878816607286e-06,{'V': 0.00510509803921566},-0.01579367612482053
,,0,23.244834661483765,0.0,0.0,-0.44961000319845895,1.507785201607624e-06,2.7316211771582362e-06,{'V': 0.005105098039215696},-0.015472962364986683
,,0,23.494577169418335,0.0,0.0,-0.4517714252845852,1.6901518493562564e-06,2.5995625701682318e-06,{'V': 0.005105098039215675},-0.012277144075819164
,,0,23.7446608543396,0.0,0.0,-0.45207478277035934,1.4826311812286482e-06,3.1152199879398017e-06,{'V': 0.005105098039215665},-0.010433983232538998
,,0,23.994691848754883,0.0,0.0,-0.45067175439866103,1.539227727081604e-06,2.838525763769334e-06,{'V': 0.0051050980392156825},-0.014276888695959396
,,0,24.244625329971313,0.0,0.0,-0.44718314331228165,1.7467483952092119e-06,3.1152199879399406e-06,{'V': 0.005105098039215699},-0.013758087025640017
,,0,24.494426727294922,0.0,0.0,-0.4523781402561303,1.7593254053987865e-06,2.9768728758550884e-06,{'V': 0.005105098039215689},-0.013854301153590185
,,0,24.74450922012329,0.0,0.0,-0.4516955859131437,1.9857115888109388e-06,3.0523349369922932e-06,{'V': 0.005105098039215674},-0.015610680626562384
,,0,24.994178295135498,0.0,0.0,-0.45264357805618166,2.2875598333602607e-06,3.291298130593881e-06,{'V': 0.005105098039215691},-0.01428066179901624
,,0,25.244128704071045,0.0,0.0,-0.4536674095706616,1.847364476725618e-06,3.253567100025348e-06,{'V': 0.005105098039215643},-0.015644638554074233
,,0,25.494091272354126,0.0,0.0,-0.4529469355419528,1.8096334461571716e-06,3.913860134977104e-06,{'V': 0.0051050980392157025},-0.014442905230461617
,,0,25.744003772735596,0.0,0.0,-0.451809344970308,2.023442619379489e-06,3.6937624566599215e-06,{'V': 0.005105098039215678},-0.013920330457085375
,,0,25.99390172958374,0.0,0.0,-0.4502167181700027,2.073750660137874e-06,3.995610701209712e-06,{'V': 0.005105098039215677},-0.014365556617795804
,,0,26.243974685668945,0.0,0.0,-0.4508992725129914,2.0485966397586382e-06,3.957879670640971e-06,{'V': 0.005105098039215693},-0.015282420660614856
,,0,26.49349069595337,0.0,0.0,-0.4513163890559275,2.457349470919388e-06,4.618172705592241e-06,{'V': 0.00511558752156457},-0.0157540585427234
,,0,26.74336814880371,0.0,0.0,-0.4545395623422587,2.061173649948161e-06,4.140246318389551e-06,{'V': 0.0051050980392156695},-0.01624644849164464
,,0,26.993346452713013,0.0,0.0,-0.4476002598552173,2.5579655524359326e-06,4.580441675024263e-06,{'V': 0.0056526412032086555},-0.014405174199892963
,,0,27.243216037750244,0.0,0.0,-0.4486240913696992,2.400752925066259e-06,4.328901471233396e-06,{'V': 0.0051050980392156565},-0.016459628814357776
,,0,27.493161916732788,0.0,0.0,-0.4524160599418518,3.155373536440076e-06,4.347766986517107e-06,{'V': 0.005829818580753997},-0.014688156929158043
