,Velocidad longitudinal (km/h)
133,3.861668719711726
134,3.861668719711726
135,3.861668719711726
136,3.086681840164289
137,6.474827575650181
138,3.4331497724392976
139,3.4331497724392976
140,3.4331497724392976
141,3.4331497724392976
142,3.4331497724392976
143,3.4331497724392976
144,3.7107931596358212
145,3.7107931596358212
146,3.7107931596358212
147,3.7107931596358212
148,3.8121360078570126
149,3.8121360078570126
150,3.8121360078570126
151,3.8121360078570126
152,3.8121360078570126
153,6.270419813696687
154,8.373275374618943
155,8.373275374618943
156,5.587583008779378
157,5.587583008779378
158,5.587583008779378
159,5.587583008779378
160,6.09386219483178
161,6.09386219483178
162,7.036460753418583
163,7.036460753418583
164,7.036460753418583
165,7.036460753418583
166,7.036460753418583
167,7.036460753418583
168,7.036460753418583
169,7.036460753418583
170,8.98039837664232
171,8.98039837664232
172,8.98039837664232
173,8.98039837664232
174,8.98039837664232
175,8.98039837664232
176,8.98039837664232
177,8.98039837664232
178,9.654360701776168
179,9.654360701776168
180,9.654360701776168
181,9.654360701776168
182,9.654360701776168
183,9.654360701776168
184,9.654360701776168
185,9.654360701776168
186,12.078047717342402
187,12.078047717342402
188,12.170737486742535
189,12.170737486742535
190,12.170737486742535
191,12.170737486742535
192,12.170737486742535
193,12.170737486742535
194,12.170737486742535
195,12.170737486742535
196,6.561752559309137
197,6.561752559309137
198,5.563217843370868
199,5.132705551811832
200,4.737894296330386
201,4.737894296330386
202,4.040567319374843
203,4.040567319374843
204,2.7999426245550105
205,2.7999426245550105
206,7.606942277893267
207,7.606942277893267
208,3.5642302834693496
209,3.5642302834693496
210,3.5642302834693496
211,3.5642302834693496
212,3.9021698123992503
213,3.9021698123992503
214,3.9021698123992503
215,3.9021698123992503
216,5.974631160096831
217,5.974631160096831
218,5.974631160096831
219,6.380739616690216
220,6.380739616690216
221,6.380739616690216
222,6.380739616690216
223,6.380739616690216
224,6.063900804729576
225,3.960141984727316
226,3.960141984727316
227,3.960141984727316
228,3.960141984727316
229,3.960141984727316
230,3.960141984727316
231,3.960141984727316
232,4.01237591000644
233,8.667499701482546
234,11.91673071233885
235,11.095547601303867
236,11.095547601303867
237,11.095547601303867
238,11.095547601303867
239,11.095547601303867
240,6.818220273238464
241,6.818220273238464
242,10.694020445463906
243,10.57310402407921
244,7.746792856401932
245,7.746792856401932
246,7.746792856401932
247,7.746792856401932
248,11.6288880961165
249,13.911151903591595
250,13.911151903591595
251,13.911151903591595
252,13.911151903591595
253,13.911151903591595
254,13.911151903591595
255,13.911151903591595
256,13.721361728399991
257,13.721361728399991
258,13.107676671569223
259,13.107676671569223
260,15.791597044707038
261,14.613265344665445
262,14.613265344665445
263,14.613265344665445
264,16.68599052815265
265,15.723892181212642
266,15.21308530885172
267,15.21308530885172
268,15.21308530885172
269,15.21308530885172
270,15.21308530885172
271,15.21308530885172
272,15.769988130826226
273,15.695005840075371
274,15.695005840075371
275,15.695005840075371
276,15.695005840075371
277,15.695005840075371
278,15.695005840075371
279,15.695005840075371
280,15.299321901679175
281,15.245176695597857
282,15.217560106455961
283,15.217560106455961
284,15.039813121285782
285,15.039813121285782
286,12.217682535211004
287,12.217682535211004
288,10.776535642366706
289,10.50368799391909
290,10.60480767712456
291,10.60480767712456
292,10.60480767712456
293,10.60480767712456
294,10.60480767712456
295,10.60480767712456
296,6.584032362617912
297,8.465444221019945
298,8.465444221019945
299,8.465444221019945
300,8.465444221019945
301,8.465444221019945
302,8.465444221019945
303,8.465444221019945
304,8.465444221019945
305,5.267319464471469
306,5.267319464471469
307,5.267319464471469
308,5.267319464471469
309,5.267319464471469
310,5.267319464471469
311,5.267319464471469
312,5.267319464471469
313,5.267319464471469
314,2.9419446254475967
315,2.9419446254475967
316,4.001428906778178
317,4.001428906778178
318,4.381349765722888
319,3.1599124630913433
320,3.1599124630913433
321,2.7564896276242363
322,3.77591719506665
323,4.679730559936117
324,3.889196649180908
325,3.889196649180908
326,3.889196649180908
327,3.858791217155964
328,3.8020122901432076
329,3.8020122901432076
330,3.8020122901432076
331,3.8020122901432076
332,3.739197999357617
333,3.739197999357617
334,3.739197999357617
335,3.739197999357617
336,3.1565763215230516
337,3.335930340999344
338,3.335930340999344
339,3.335930340999344
340,3.445527953042901
341,3.445527953042901
342,3.445527953042901
343,3.445527953042901
344,2.7046035474353727
345,2.7046035474353727
346,2.7046035474353727
347,2.7046035474353727
348,2.115439430094845
349,2.115439430094845
350,2.115439430094845
351,2.115439430094845
352,1.3010267016475872
353,1.3899962699230528
354,1.266457845172906
355,1.266457845172906
356,1.0667329720225207
357,1.0667329720225207
358,1.0667329720225207
359,0.8759412555645498
360,0.8195258268047445
361,0.7560179140734695
362,0.6904167437135342
363,0.6904167437135342
364,0.6904167437135342
365,0.6904167437135342
366,0.6904167437135342
367,0.517144730225495
