0,1,Velocidad E (m/s),Velocidad N (m/s),Velocidad U (m/s),Aceleración X (g),Aceleración Y (g),Aceleración Z (g),Pitch (°),Roll Y (°),Yaw (°),Posición longitud (deg),Posición latitud (deg),Posición altitud (m)
Fecha,16_12_2022,,,,,,,,,,,,
Hora de inicio,18_37_55,,,,,,,,,,,,
Hora de finalización,18_39_39,,,,,,,,,,,,
,,0.9427000000000001,-10.1913,-0.1072,0.0189,-0.011430000000000001,0.9656600000000001,-0.1875,-0.1875,-0.1875,-76.536495,3.3764721,998.99
,,0.9539000000000001,-10.180200000000001,-0.1198,0.09334,-0.00774,1.02925,-1.6940000000000002,-1.6940000000000002,-1.6940000000000002,-76.5364936,3.3764621,998.96
,,0.9513,-10.1785,-0.1039,-0.0412,-0.044550000000000006,1.03824,0.9101,0.9101,0.9101,-76.536492,3.3764510999999997,998.9200000000001
,,0.9587,-10.174800000000001,-0.1032,0.01802,-0.060450000000000004,1.07448,1.1391,1.1391,1.1391,-76.5364907,3.3764418,998.89
,,0.9558000000000001,-10.1637,-0.0884,-0.03104,-0.01863,1.0676400000000001,1.4422000000000001,1.4422000000000001,1.4422000000000001,-76.5364891,3.3764307,998.84
,,0.9624,-10.1602,-0.1386,0.005710000000000001,0.009030000000000002,0.9643200000000001,-2.7436000000000003,-2.7436000000000003,-2.7436000000000003,-76.5364877,3.3764208,998.8000000000001
,,0.9736,-10.1463,-0.11760000000000001,0.00396,0.07840000000000001,0.9785100000000001,0.5487000000000001,0.5487000000000001,0.5487000000000001,-76.5364862,3.3764106,998.75
,,0.9871000000000001,-10.1442,-0.14800000000000002,-0.00124,-0.05646,0.9593,1.0116,1.0116,1.0116,-76.53648489999999,3.3764008999999997,998.72
,,1.0059,-10.1347,-0.19290000000000002,0.023000000000000003,-0.05174,0.95925,-0.3053,-0.3053,-0.3053,-76.5364835,3.3763915,998.66
,,1.0097,-10.1354,-0.19360000000000002,0.00804,0.00214,1.05498,-1.5592000000000001,-1.5592000000000001,-1.5592000000000001,-76.5364819,3.3763805,998.6
,,1.0126,-10.128400000000001,-0.1753,0.0625,-0.023370000000000002,1.0224900000000001,2.4899,2.4899,2.4899,-76.5364804,3.3763704999999997,998.5500000000001
,,1.0209000000000001,-10.1274,-0.167,0.04673,0.013460000000000001,0.99365,2.8896,2.8896,2.8896,-76.536479,3.3763604,998.5
,,1.0301,-10.116100000000001,-0.136,0.02891,0.04573000000000001,1.01991,1.4348,1.4348,1.4348,-76.5364776,3.3763505,998.45
,,1.0471000000000001,-10.1064,-0.1708,0.014450000000000001,-0.02324,0.9967300000000001,-1.1671,-1.1671,-1.1671,-76.5364762,3.3763417,998.4
,,1.0724,-10.0921,-0.1403,0.04036,-0.04071,0.99367,-0.7066,-0.7066,-0.7066,-76.53647459999999,3.3763303,998.35
,,1.0997000000000001,-10.0869,-0.18510000000000001,0.05024000000000001,-0.04134,0.9332400000000001,1.0925,1.0925,1.0925,-76.536473,3.3763201,998.3000000000001
,,1.1167,-10.073400000000001,-0.21960000000000002,0.01369,-0.06594,0.9999600000000001,-2.7465,-2.7465,-2.7465,-76.53647149999999,3.3763096999999997,998.24
,,1.1274,-10.0683,-0.22210000000000002,0.03146,-0.031290000000000005,0.9396500000000001,-2.4814000000000003,-2.4814000000000003,-2.4814000000000003,-76.5364701,3.3763006,998.2
,,1.1495,-10.064,-0.2444,-0.054310000000000004,-0.08944,0.9428700000000001,-0.7907000000000001,-0.7907000000000001,-0.7907000000000001,-76.5364687,3.3762915,998.16
,,1.1606,-10.0596,-0.23820000000000002,-0.02704,-0.038200000000000005,1.0249700000000002,1.5622,1.5622,1.5622,-76.536467,3.3762802,998.1
,,1.1833,-10.0519,-0.19840000000000002,0.042820000000000004,-0.07020000000000001,0.9698100000000001,2.1238,2.1238,2.1238,-76.5364656,3.3762708999999997,998.0600000000001
,,1.2072,-10.042900000000001,-0.194,-0.024650000000000002,-0.03302,1.0043900000000001,1.8206,1.8206,1.8206,-76.5364641,3.3762611999999996,998.03
,,1.2287000000000001,-10.027700000000001,-0.1802,-0.02783,-0.043710000000000006,1.0704900000000002,-2.1249000000000002,-2.1249000000000002,-2.1249000000000002,-76.53646239999999,3.3762499,997.99
,,1.2468000000000001,-10.0253,-0.1617,0.01573,-0.00285,1.02986,-0.14730000000000001,-0.14730000000000001,-0.14730000000000001,-76.5364609,3.3762404999999998,997.97
,,1.2634,-10.0189,-0.17170000000000002,-0.030470000000000004,-0.01548,1.01071,1.7828000000000002,1.7828000000000002,1.7828000000000002,-76.53645929999999,3.3762299,997.94
,,1.2895,-10.0092,-0.1746,0.010480000000000001,-0.04990000000000001,0.9827800000000001,0.031,0.031,0.031,-76.5364577,3.3762195999999998,997.9200000000001
,,1.2978,-10.0006,-0.1673,0.04394000000000001,-0.09989,0.9943500000000001,-0.6917,-0.6917,-0.6917,-76.53645639999999,3.3762109,997.9
,,1.3050000000000002,-9.9993,-0.1582,-0.0032800000000000004,-0.0022,0.9129100000000001,-0.7384000000000001,-0.7384000000000001,-0.7384000000000001,-76.5364548,3.3762003,997.88
,,1.3254000000000001,-9.994,-0.183,-0.018230000000000003,-0.027750000000000004,1.0033500000000002,-1.7405000000000002,-1.7405000000000002,-1.7405000000000002,-76.5364532,3.3761893,997.86
,,1.3294000000000001,-9.9933,-0.14200000000000002,-0.02857,-0.033240000000000006,0.99533,1.5927,1.5927,1.5927,-76.5364517,3.3761796,997.84
,,1.3419,-9.9913,-0.1322,0.032040000000000006,0.03509,0.8920800000000001,4.1592,4.1592,4.1592,-76.5364501,3.3761682,997.83
,,1.3388,-9.9801,-0.1222,0.029640000000000003,-0.031470000000000005,0.9930700000000001,-1.4439,-1.4439,-1.4439,-76.5364489,3.3761598999999998,997.82
,,1.3423,-9.9748,-0.10790000000000001,0.02024,0.00939,0.9929700000000001,-2.4233000000000002,-2.4233000000000002,-2.4233000000000002,-76.53644779999999,3.3761512999999996,997.8100000000001
,,1.3474000000000002,-9.9718,-0.1019,-0.05876000000000001,-0.061380000000000004,0.95015,-1.358,-1.358,-1.358,-76.5364464,3.3761414,997.8100000000001
,,1.3474000000000002,-9.966000000000001,-0.11120000000000001,-0.04016,-0.03198,0.9776,1.1398000000000001,1.1398000000000001,1.1398000000000001,-76.5364451,3.3761318,997.8000000000001
,,1.3681,-9.9609,-0.0896,-0.033670000000000005,-0.09746,1.0398200000000002,0.5121,0.5121,0.5121,-76.5364436,3.3761205,997.8000000000001
,,1.3687,-9.948,-0.0631,0.038610000000000005,-0.09882,0.9633800000000001,0.9430000000000001,0.9430000000000001,0.9430000000000001,-76.53644249999999,3.3761117,997.8000000000001
,,1.3702,-9.9459,-0.0333,0.00583,-0.04172,1.0667300000000002,-0.1292,-0.1292,-0.1292,-76.536441,3.3761010999999996,997.8100000000001
,,1.3769,-9.9315,-0.0051,-2e-05,-0.06720000000000001,1.07427,0.1368,0.1368,0.1368,-76.53643989999999,3.3760925999999998,997.82
,,1.3704,-9.9261,-0.0285,-0.018090000000000002,-0.056650000000000006,0.9764900000000001,-1.054,-1.054,-1.054,-76.5364385,3.3760825,997.83
,,1.3799000000000001,-9.920200000000001,-0.0358,0.00194,-0.06989000000000001,0.9374100000000001,-1.116,-1.116,-1.116,-76.5364373,3.3760727999999998,997.84
,,1.3768,-9.9102,-0.0533,0.03404,-0.06301000000000001,1.0469000000000002,-1.1974,-1.1974,-1.1974,-76.5364357,3.3760600999999997,997.84
,,1.3867,-9.904,-0.0221,0.034940000000000006,-0.02943,1.02228,0.8626,0.8626,0.8626,-76.53643459999999,3.3760516,997.85
,,1.3931,-9.8994,-0.0019,-0.04358,-0.04154,0.9767000000000001,2.9779,2.9779,2.9779,-76.5364335,3.3760429999999997,997.85
,,1.3992,-9.8885,-0.0106,0.014050000000000002,0.0034900000000000005,1.0623900000000002,0.5649000000000001,0.5649000000000001,0.5649000000000001,-76.5364323,3.3760334,997.86
,,1.4029,-9.877500000000001,-0.0028,0.01828,-0.008,1.02101,-3.555,-3.555,-3.555,-76.5364309,3.3760234,997.85
,,1.4122000000000001,-9.8712,0.0038,-0.004690000000000001,-0.0012900000000000001,1.0408700000000002,-1.0108000000000001,-1.0108000000000001,-1.0108000000000001,-76.5364297,3.3760139999999996,997.85
,,1.4157,-9.8591,0.003,0.029990000000000003,-0.052360000000000004,1.0149700000000001,1.0416,1.0416,1.0416,-76.5364282,3.3760032,997.85
,,1.4153,-9.8475,-0.0241,-0.00103,-0.0488,1.0305900000000001,0.6332,0.6332,0.6332,-76.536427,3.3759948,997.84
,,1.4196,-9.8294,-0.006900000000000001,-0.056720000000000007,-0.02119,1.058,0.029,0.029,0.029,-76.53642549999999,3.3759837999999998,997.84
,,1.4264000000000001,-9.8213,0.019200000000000002,-0.03699,-0.023700000000000002,0.9726600000000001,1.0823,1.0823,1.0823,-76.5364242,3.3759740999999996,997.83
,,1.4272,-9.8058,0.0199,-0.031400000000000004,0.02136,0.9701500000000001,0.8547,0.8547,0.8547,-76.5364228,3.3759647,997.83
,,1.4281000000000001,-9.7871,-0.0013000000000000002,0.036570000000000005,-0.10089000000000001,1.0582900000000002,-1.8998000000000002,-1.8998000000000002,-1.8998000000000002,-76.5364215,3.3759550999999997,997.82
,,1.431,-9.779300000000001,-0.0089,8e-05,-0.06019000000000001,0.92473,-1.8098,-1.8098,-1.8098,-76.5364203,3.375947,997.82
,,1.4382000000000001,-9.7642,-0.0219,0.024990000000000002,-0.010730000000000002,0.9420000000000001,1.0079,1.0079,1.0079,-76.5364189,3.375936,997.8100000000001
,,1.4436,-9.755,-0.0206,-0.05723,-0.04748,1.02837,0.9968,0.9968,0.9968,-76.5364175,3.3759262999999997,997.8000000000001
,,1.4538,-9.742600000000001,-0.0187,0.012650000000000002,-0.08964000000000001,1.04085,-0.32020000000000004,-0.32020000000000004,-0.32020000000000004,-76.5364163,3.3759167999999997,997.7900000000001
,,1.459,-9.7261,-0.024,0.10183,0.03636,0.94491,-0.6273000000000001,-0.6273000000000001,-0.6273000000000001,-76.5364149,3.3759071,997.78
,,1.4575,-9.716700000000001,-0.0361,0.011120000000000001,0.02502,0.9799200000000001,-2.0961000000000003,-2.0961000000000003,-2.0961000000000003,-76.5364136,3.3758977,997.77
,,1.4767000000000001,-9.702300000000001,-0.038,-0.008230000000000001,-0.07564000000000001,1.01475,-1.475,-1.475,-1.475,-76.5364123,3.3758882,997.75
